Company,Sector,Industry,CompanyType,HeadquartersState,2023_Rank,2023_Profitable,2023_Founder_is_CEO,2023_FemaleCEO,2023_Growth_in_Jobs,2023_Change_in_Rank,2023_Gained_in_Rank,2023_Dropped_in_Rank,2023_Newcomer_to_the_Fortune500,2023_Global500,2023_Best_Companies,2023_Number_of_employees,2023_MarketCap_March31_M,2023_Revenues_M,2023_RevenuePercentChange,2023_Profits_M,2023_ProfitsPercentChange,2023_Assets_M,2023_CEO,2023_MarketCap_Updated_M,2023_Year,2024_Rank,2024_Profitable,2024_Founder_is_CEO,2024_FemaleCEO,2024_Growth_in_Jobs,2024_Change_in_Rank,2024_Gained_in_Rank,2024_Dropped_in_Rank,2024_Newcomer_to_the_Fortune500,2024_Global500,2024_Worlds_Most_Admired_Companies,2024_Best_Companies_to_Work_For,2024_Number_of_employees,2024_MarketCap_March28_M,2024_Revenues_M,2024_RevenuePercentChange,2024_Profits_M,2024_ProfitsPercentChange,2024_Assets_M,2024_CEO,2024_MarketCap_Updated_M,2024_Year
Illumina,Technology,"Scientific,Photographic and  Control Equipment",Public,California,687,no,no,no,yes,-36,no,yes,,no,no,12430,36743,4584,1,-4404,-678,12252,Charles Dadswell,36743,2023,686,no,no,no,no,1,yes,no,,no,no,no,11490,21820,4504,-2,-1161,0,10111,Jacob Thaysen,21820,2024
Incyte,Health Care,Pharmaceuticals,Public,Delaware,832,yes,no,no,yes,3,yes,no,,no,no,2324,16114,3395,14,341,-64,5841,Hervé Hoppenot,16114,2023,793,yes,no,no,yes,39,yes,no,,no,no,no,2524,12791,3696,9,598,75,6782,Herv? Hoppenot,12791,2024
Ingersoll Rand,Industrials,Industrial Machinery,Public,North Carolina,578,yes,no,no,yes,-28,no,yes,,no,no,17000,23560,5923,5,605,8,14766,Vicente Reynal,23560,2023,514,yes,no,no,yes,64,yes,no,,no,no,no,18000,38306,6876,16,779,29,15564,Vicente Reynal,38306,2024
Ingles Markets,Food & Drug Stores,Food & Drug Stores,Public,North Carolina,598,yes,no,no,no,11,yes,no,,no,no,18460,1685,5679,14,273,9,2296,James W. Lanning,1685,2023,578,yes,no,no,yes,20,yes,no,,no,no,no,19540,1456,5893,4,211,-23,2474,James W. Lanning,1457,2024
Ingredion,"Food, Beverages & Tobacco",Food Production,Public,Illinois,468,yes,no,no,no,8,yes,no,no,no,no,11700,6711,7946,15,492,320,7561,James P. Zallie,6711,2023,459,yes,no,no,no,9,yes,no,no,no,yes,no,11600,7666,8160,3,643,31,7642,James P. Zallie,7666,2024
Insight Enterprises,Technology,Information Technology Services,Public,Arizona,379,yes,no,yes,yes,-6,no,yes,no,no,no,13448,4833,10431,10,281,28,5113,Joyce A. Mullen,4833,2023,427,yes,no,yes,yes,-48,no,yes,no,no,no,no,14437,6046,9176,-12,281,0,6286,Joyce A. Mullen,6046,2024
Insperity,Business Services,Diversified Outsourcing Services,Public,Texas,576,yes,yes,no,yes,35,yes,no,,no,no,4100,4601,5939,19,179,44,2039,Paul J. Sarvadi,4601,2023,541,yes,yes,no,yes,35,yes,no,,no,no,no,4400,4087,6486,9,171,-4,2120,Paul J. Sarvadi,4087,2024
Installed Building Products,Engineering & Construction,Homebuilders,Public,Ohio,950,yes,no,no,yes,0,,,,no,no,10300,3228,2670,36,223,88,1779,Jeffrey W. Edwards,3228,2023,936,yes,no,no,yes,14,yes,no,,no,no,no,10600,7339,2779,4,244,9,1981,Jeffrey W. Edwards,7339,2024
Intel,Technology,Semiconductors and Other Electronic Components,Public,California,62,yes,no,no,yes,-16,no,yes,no,yes,no,131900,136268,63054,-20,8014,-60,182103,Patrick P. Gelsinger,143357,2023,79,yes,no,no,no,-17,no,yes,no,yes,no,no,124800,188026,54228,-14,1689,-79,191572,Patrick P. Gelsinger,146692,2024
Interactive Brokers Group,Financials,Securities,Public,Connecticut,736,yes,no,no,yes,109,yes,no,,no,no,2820,34913,4085,39,380,23,115143,Milan Galik,34913,2023,473,yes,no,no,yes,263,yes,no,yes,no,no,no,2932,47328,7776,90,600,58,128423,Milan Galik,47328,2024
Intercontinental Exchange,Financials,Securities,Public,Georgia,401,yes,yes,no,yes,-17,no,yes,no,no,no,8911,58372,9636,5,1446,-64,194338,Jeffrey C. Sprecher,58372,2023,397,yes,yes,no,yes,4,yes,no,no,no,no,no,13222,78695,9903,3,2368,64,136084,Jeffrey C. Sprecher,78695,2024
International Flavors & Fragrances,Chemicals,Chemicals,Public,New York,332,no,no,no,yes,-10,no,yes,no,no,no,24600,23456,12440,7,-1871,-793,35407,Franklin K. Clyburn Jr.,23456,2023,356,no,no,no,no,-24,no,yes,no,no,no,no,21500,21955,11479,-8,-2567,0,30978,J. Erik  Fyrwald,21955,2024
International Paper,Materials,"Packaging, Containers",Public,Tennessee,184,yes,no,no,yes,-20,no,yes,no,no,no,39000,12598,21161,-3,1504,-14,23940,Mark S. Sutton,12598,2023,218,yes,no,no,no,-34,no,yes,no,no,yes,no,39000,13515,18916,-11,288,-81,23261,Andrew K. Silvernail,13515,2024
Interpublic Group,Business Services,"Advertising, marketing",Public,New York,371,yes,no,no,yes,-18,no,yes,no,no,no,58400,14341,10928,7,938,-2,18845,Philippe Krakowsky,14341,2023,372,yes,no,no,no,-1,no,yes,no,no,no,no,57400,12358,10889,0,1098,17,19267,Philippe Krakowsky,12358,2024
Intuit,Technology,Computer Software,Public,California,321,yes,no,no,yes,45,yes,no,no,no,yes,21850,125076,12726,32,2066,0,27734,Sasan K. Goodarzi,125076,2023,297,yes,no,no,yes,24,yes,no,no,no,yes,yes,22900,181986,14368,13,2384,15,27780,Sasan K. Goodarzi,181986,2024
Intuitive Surgical,Health Care,Medical Products and Equipment,Public,California,560,yes,no,no,yes,-15,no,yes,,no,no,12120,89480,6222,9,1322,-22,12974,Gary S. Guthart,89480,2023,497,yes,no,no,yes,63,yes,no,yes,no,no,no,13676,141457,7124,14,1798,36,15442,Gary S. Guthart,141457,2024
IQVIA Holdings,Health Care,Health Care: Pharmacy and Other Services,Public,North Carolina,286,yes,no,no,yes,-17,no,yes,no,no,no,86000,37022,14410,4,1091,13,25337,Ari Bousbib,37022,2023,275,yes,no,no,yes,11,yes,no,no,no,yes,no,87000,46029,14984,4,1358,24,26681,Ari Bousbib,46029,2024
Iron Mountain,Business Services,Diversified Outsourcing Services,Public,New Hampshire,641,yes,no,no,yes,11,yes,no,,no,no,26000,15427,5104,14,557,24,16141,William L. Meaney,15427,2023,604,yes,no,no,yes,37,yes,no,,no,no,no,27000,23443,5480,7,184,-67,17474,William L. Meaney,23443,2024
ITT,Industrials,Industrial Machinery,Public,Connecticut,895,yes,no,no,yes,-9,no,yes,,no,no,10300,7146,2988,8,367,16,3780,Luca Savi,7146,2023,848,yes,no,no,yes,47,yes,no,,no,no,no,10600,11168,3283,10,410,12,3933,Luca Savi,11168,2024
J.B. Hunt Transport Services,Transportation,"Trucking, Truck Leasing",Public,Arkansas,280,yes,no,no,yes,31,yes,no,no,no,no,37151,18208,14814,22,969,27,7787,John N. Roberts III,18208,2023,316,yes,no,no,no,-36,no,yes,no,no,yes,no,34718,20582,12830,-13,728,-25,8538,Shelley Simpson,20582,2024
J.M. Smucker,"Food, Beverages & Tobacco",Food Consumer Products,Public,Ohio,465,yes,no,no,no,-39,no,yes,no,no,no,6700,16781,7999,0,632,-28,16055,Mark T. Smucker,16781,2023,446,no,no,no,no,19,yes,no,no,no,no,no,5800,13364,8529,7,-91,-114,14991,Mark T. Smucker,13364,2024
Jabil,Technology,Semiconductors and Other Electronic Components,Public,Florida,121,yes,no,no,yes,-2,no,yes,no,yes,no,250000,11750,33478,14,996,43,19717,Kenneth S. Wilson,14759,2023,125,yes,no,no,no,-4,no,yes,no,yes,yes,no,236000,17085,34702,4,818,-18,19424,Michael K. Dastoor,13080,2024
Jackson Financial,Financials,"Insurance: Life, Health (stock)",Public,Michigan,282,yes,no,yes,yes,113,yes,no,no,no,no,3435,3078,14551,57,5697,79,311058,Laura L. Prieskorn,3078,2023,859,yes,no,yes,no,-577,no,yes,,no,no,no,3428,5120,3159,-78,934,-84,330255,Laura L. Prieskorn,5120,2024
Jacobs Solutions,Business Services,Diversified Outsourcing Services,Public,Texas,277,yes,no,no,yes,-15,no,yes,no,no,no,58350,14890,14923,6,644,35,14660,Bob Pragada,14890,2023,249,yes,no,no,yes,28,yes,no,no,no,no,no,58550,19316,16352,10,666,3,14617,Bob Pragada,19316,2024
Jefferies Financial Group,Financials,Diversified Financials,Public,New York,502,yes,no,no,no,-115,no,yes,,no,no,5381,7411,7149,-21,785,-53,51058,Richard B. Handler,7411,2023,480,yes,no,no,yes,22,yes,no,yes,no,no,no,7564,9348,7441,4,278,-65,57905,Richard B. Handler,9348,2024
JELD-WEN Holding,Materials,"Building Materials, Glass",Public,North Carolina,639,yes,no,no,no,-13,no,yes,,no,no,23400,1077,5129,8,46,-73,3501,William J. Christensen,1077,2023,678,yes,no,no,no,-39,no,yes,,no,no,no,17700,1825,4606,-10,62,37,2980,William J. Christensen,1825,2024
JetBlue Airways,Transportation,Airlines,Public,New York,417,no,no,no,yes,106,yes,no,yes,no,no,18785,2383,9158,52,-362,0,13045,Robin Hayes,2383,2023,413,no,no,yes,yes,4,yes,no,no,no,no,no,21310,2524,9615,5,-310,0,13853,Joanna  Geraghty,2524,2024
Johnson & Johnson,Health Care,Pharmaceuticals,Public,New Jersey,40,yes,no,no,yes,-3,no,yes,no,yes,no,152700,483576,94943,1,17941,-14,187378,Joaquin Duato,413381,2023,42,yes,no,no,no,-2,no,yes,no,yes,yes,no,131900,381204,95195,0,35153,96,167558,Joaquin Duato,359173,2024
Jones Financial (Edward Jones),Financials,Securities,Private,Missouri,333,yes,no,yes,yes,-30,no,yes,no,no,yes,52000,0,12411,0,1404,-12,29892,Penny Pennington,0,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Jones Lang LaSalle,Financials,Real estate,Public,Illinois,190,yes,no,no,yes,-5,no,yes,no,no,no,103300,6926,20862,8,655,-32,15594,Christian Ulbrich,6926,2023,193,yes,no,no,yes,-3,no,yes,no,no,yes,no,106100,9256,20761,0,225,-66,16065,Christian Ulbrich,9256,2024
JPMorgan Chase,Financials,Commercial Banks,Public,New York,23,yes,no,no,yes,1,yes,no,no,yes,no,293723,383549,154792,22,37676,-22,3665743,James Dimon,448221,2023,12,yes,no,no,yes,11,yes,no,no,yes,yes,no,309926,576938,239425,55,49552,32,3875393,James Dimon,603194,2024
Juniper Networks,Technology,Network and Other Communications Equipment,Public,California,623,yes,no,no,yes,9,yes,no,,no,no,10901,11061,5301,12,471,86,9327,Rami Rahim,11061,2023,594,yes,no,no,yes,29,yes,no,,no,no,no,11144,12022,5564,5,310,-34,9518,Rami Rahim,12022,2024
Kaiser Aluminum,Materials,Metals,Public,Tennessee,830,no,no,no,yes,76,yes,no,,no,no,4000,1190,3428,31,-30,0,2289,Keith A. Harvey,1190,2023,877,yes,no,no,no,-47,no,yes,,no,no,no,4000,1431,3087,-10,47,0,2267,Keith A. Harvey,1431,2024
KB Home,Engineering & Construction,Homebuilders,Public,California,518,yes,no,no,yes,25,yes,no,,no,no,2366,3299,6904,21,817,45,6652,Jeffrey T. Mezger,3299,2023,545,yes,no,no,no,-27,no,yes,,no,no,no,2205,5362,6411,-7,590,-28,6648,Jeffrey T. Mezger,5362,2024
KBR,Technology,Information Technology Services,Public,Texas,532,yes,no,no,yes,-72,no,yes,,no,no,30000,7518,6564,-11,190,956,5566,Stuart J.B. Bradie,7518,2023,507,no,no,no,yes,25,yes,no,,no,no,no,34000,8599,6956,6,-265,-240,5565,Stuart J.B. Bradie,8599,2024
Kellogg,"Food, Beverages & Tobacco",Food Consumer Products,Public,Michigan,270,yes,no,no,no,-12,no,yes,no,no,no,30000,22945,15315,8,960,-36,18496,Steven A. Cahillane,22945,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Kelly Services,Business Services,Temporary Help,Public,Michigan,652,no,no,no,yes,-34,no,yes,,no,no,7500,616,4965,1,-63,-140,2664,Peter W. Quigley,616,2023,656,yes,no,no,no,-4,no,yes,,no,no,no,6200,884,4836,-3,36,0,2582,Peter W. Quigley,884,2024
Kemper,Financials,Insurance: Property and Casualty (Stock),Public,Illinois,601,no,no,no,no,-64,no,yes,,no,no,9500,3496,5577,-4,-301,0,13364,Joseph P. Lacher Jr.,3496,2023,647,no,no,no,no,-46,no,yes,,no,no,no,8100,3984,4944,-11,-272,0,12743,Joseph P. Lacher Jr.,3984,2024
Keurig Dr Pepper,"Food, Beverages & Tobacco",Beverages,Public,Massachusetts,296,yes,no,no,yes,0,,,no,no,no,28000,49620,14057,11,1436,-33,51837,Robert J. Gamgort,49620,2023,279,yes,no,no,yes,17,yes,no,no,no,yes,no,28100,42557,14814,5,2181,52,52130,Timothy P. Cofer,42557,2024
KeyCorp,Financials,Commercial Banks,Public,Ohio,459,yes,no,no,yes,-10,no,yes,no,no,no,17660,11579,8130,8,1917,-27,189813,Christopher M. Gorman,11579,2023,386,yes,no,no,yes,73,yes,no,no,no,no,no,17692,14663,10397,28,967,-50,188281,Christopher M. Gorman,14663,2024
Keysight Technologies,Technology,"Scientific,Photographic and  Control Equipment",Public,California,614,yes,no,no,yes,0,,,,no,no,15000,28766,5420,10,1124,26,8098,Satish Dhanasekaran,28766,2023,606,yes,no,no,no,8,yes,no,,no,no,no,14900,27297,5464,1,1057,-6,8683,Satish Dhanasekaran,27297,2024
Kimberly-Clark,Household Products,Household and Personal Products,Public,Texas,199,yes,no,no,no,-17,no,yes,no,no,no,44000,45293,20175,4,1934,7,17970,Michael D. Hsu,45293,2023,198,yes,no,no,no,1,yes,no,no,no,yes,no,41000,43580,20431,1,1764,-9,17344,Michael D. Hsu,43580,2024
Kinder Morgan,Energy,Pipelines,Public,Texas,214,yes,no,yes,no,9,yes,no,no,no,no,10525,39363,19200,16,2548,43,70078,Kimberly Dang,39363,2023,268,yes,no,yes,yes,-54,no,yes,no,no,no,no,10891,40703,15334,-20,2391,-6,71020,Kimberly A. Dang,40703,2024
Kirby,Transportation,Shipping,Public,Texas,924,yes,no,no,yes,47,yes,no,,no,no,5200,4183,2785,24,122,0,5555,David W. Grzebinski,4183,2023,876,yes,no,no,yes,48,yes,no,,no,no,no,5450,5574,3092,11,223,82,5722,David W. Grzebinski,5574,2024
KKR,Financials,Securities,Public,New York,496,no,no,no,yes,-358,no,yes,no,no,no,4150,45225,7273,-72,-841,-118,277077,Joseph Y. Bae/Scott C. Nuttall,45225,2023,188,yes,no,no,yes,308,yes,no,no,no,no,no,4490,89014,21685,198,3732,0,317294,Joseph Y. Bae/Scott C. Nuttall,89014,2024
KLA,Technology,Semiconductors and Other Electronic Components,Public,California,416,yes,no,no,yes,58,yes,no,no,no,no,14140,55277,9212,33,3322,60,12597,Richard P. Wallace,55277,2023,382,yes,no,no,yes,34,yes,no,no,no,no,no,15105,94470,10496,14,3387,2,14072,Richard P. Wallace,94470,2024
Knight-Swift Transportation Holdings,Transportation,"Trucking, Truck Leasing",Public,Arizona,490,yes,no,no,yes,37,yes,no,yes,no,no,28300,9106,7429,24,771,4,10952,David A. Jackson,9106,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Knights of Columbus,Financials,"Insurance: Life, Health (Mutual)",Private,Connecticut,995,yes,no,no,no,-70,no,yes,,no,no,749,0,2453,-1,150,15,29361,Patrick E. Kelly,0,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Kohl's,Retailing,General Merchandisers,Public,Wisconsin,226,no,no,no,no,-43,no,yes,no,no,no,66500,2607,18098,-7,-19,-102,14345,Thomas A. Kingsbury,2607,2023,235,yes,no,no,no,-9,no,yes,no,no,yes,no,66000,3233,17476,-3,317,0,14009,Thomas A. Kingsbury,3233,2024
Kontoor Brands,Apparel,Apparel,Public,North Carolina,956,yes,no,no,yes,-33,no,yes,,no,no,14400,2687,2631,6,246,26,1582,Scott H. Baxter,2687,2023,975,yes,no,no,no,-19,no,yes,,no,no,no,13700,3360,2608,-1,231,-6,1645,Scott H. Baxter,3360,2024
Korn Ferry,Business Services,Diversified Outsourcing Services,Public,California,953,yes,no,no,yes,0,,,,no,no,10779,2712,2644,45,326,185,3465,Gary D. Burnison,2712,2023,917,yes,no,no,no,36,yes,no,,no,no,no,10697,3431,2864,8,210,-36,3574,Gary D. Burnison,3431,2024
Kraft Heinz,"Food, Beverages & Tobacco",Food Consumer Products,Public,Illinois,153,yes,no,no,yes,-14,no,yes,no,no,no,37000,47448,26485,2,2363,134,90513,Miguel Patricio,47448,2023,156,yes,no,no,no,-3,no,yes,no,no,no,no,36000,44857,26640,1,2855,21,90339,Carlos Abrams-Rivera,44857,2024
Kroger,Food & Drug Stores,Food & Drug Stores,Public,Ohio,24,yes,no,no,yes,-3,no,yes,no,yes,no,430000,35421,148258,8,2244,36,49623,W. Rodney McMullen,33404,2023,25,yes,no,no,no,-1,no,yes,no,yes,no,no,414000,41101,150039,1,2164,-4,50505,W. Rodney McMullen,37620,2024
Kyndryl Holdings,Technology,Information Technology Services,Public,New York,225,no,no,no,,0,,,yes,no,no,90000,3358,18317,0,-2054,0,13442,Martin J. Schroeter,3358,2023,241,no,no,no,no,-16,no,yes,no,no,no,no,90000,5007,17026,-7,-1374,0,11464,Martin J. Schroeter,5007,2024
L3Harris Technologies,Aerospace & Defense,Aerospace & Defense,Public,Florida,246,yes,no,no,no,-40,no,yes,no,no,no,46000,37277,17062,-4,1062,-42,33524,Christopher E. Kubasik,37277,2023,209,yes,no,no,yes,37,yes,no,no,no,no,no,50000,40508,19419,14,1227,16,41687,Christopher E. Kubasik,40508,2024
Laboratory Corp. of America,Health Care,Health Care: Pharmacy and Other Services,Public,North Carolina,278,yes,no,no,yes,-48,no,yes,no,no,no,75200,20304,14877,-8,1279,-46,20155,Adam H. Schechter,20304,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Lam Research,Technology,Semiconductors and Other Electronic Components,Public,California,240,yes,no,no,yes,10,yes,no,no,no,no,17700,71532,17227,18,4605,18,17196,Timothy M. Archer,71532,2023,237,yes,no,no,no,3,yes,no,no,no,yes,no,17200,127376,17428,1,4511,-2,18782,Timothy M. Archer,127376,2024
Lamb Weston Holdings,"Food, Beverages & Tobacco",Food Consumer Products,Public,Idaho,733,yes,no,no,yes,-3,no,yes,,no,no,8000,15451,4099,12,201,-37,4140,Thomas P. Werner,15451,2023,616,yes,no,no,yes,117,yes,no,,no,no,no,10300,15380,5351,30,1009,402,6520,Thomas P. Werner,15380,2024
Land O'Lakes,"Food, Beverages & Tobacco",Food Consumer Products,Private,Minnesota,213,yes,no,yes,no,19,yes,no,no,no,no,9000,0,19226,21,241,-16,9770,Beth E. Ford,0,2023,245,yes,no,yes,no,-32,no,yes,no,no,no,no,9000,0,16795,-13,254,5,9464,Beth E. Ford,0,2024
Landstar System,Transportation,"Trucking, Truck Leasing",Public,Florida,489,yes,no,no,yes,2,yes,no,no,no,no,1449,6457,7440,14,431,13,1932,James B. Gattoni,6457,2023,620,yes,no,no,yes,-131,no,yes,,no,no,no,1468,6894,5314,-29,264,-39,1802,Frank A. Lonegro,6894,2024
Las Vegas Sands,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Nevada,713,yes,no,no,no,-146,no,yes,,no,no,35600,43907,4338,-21,1832,0,22039,Robert G. Goldstein,43907,2023,387,yes,no,no,yes,326,yes,no,yes,no,yes,no,38550,38840,10372,139,1221,-33,21778,Robert G. Goldstein,38840,2024
LCI Industries,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Indiana,634,yes,no,no,no,19,yes,no,,no,no,12900,2767,5207,16,395,37,3247,Jason D. Lippert,2767,2023,777,yes,no,no,no,-143,no,yes,,no,no,no,11700,3132,3785,-27,64,-84,2959,Jason D. Lippert,3132,2024
Lear,Motor Vehicles & Parts,Motor Vehicles & Parts,Public,Michigan,189,yes,no,no,yes,-3,no,yes,no,no,no,168700,8248,20892,8,328,-12,13763,Raymond E. Scott,8248,2023,174,yes,no,no,yes,15,yes,no,no,no,yes,no,186600,8263,23467,12,572,75,14696,Raymond E. Scott,8263,2024
Leggett & Platt,Household Products,"Home Equipment, Furnishings",Public,Missouri,638,yes,no,no,no,-40,no,yes,,no,no,19900,4242,5147,2,310,-23,5186,J. Mitchell Dolloff,4242,2023,665,no,no,no,no,-27,no,yes,,no,yes,no,19300,2562,4725,-8,-137,-144,4634,J. Mitchell Dolloff,2562,2024
Leidos Holdings,Technology,Information Technology Services,Public,Virginia,288,yes,no,no,yes,-14,no,yes,no,no,no,45000,12630,14396,5,685,-9,13071,Thomas A. Bell,12630,2023,266,yes,no,no,yes,22,yes,no,no,no,no,no,47000,17701,15438,7,199,-71,12695,Thomas A. Bell,17701,2024
Lennar,Engineering & Construction,Homebuilders,Public,Florida,119,yes,no,no,yes,12,yes,no,no,no,no,12012,29726,33671,24,4614,4,37984,Jonathan M. Jaffe,37047,2023,126,yes,no,no,yes,-7,no,yes,no,yes,yes,no,12284,47375,34233,2,3938,-15,39234,Jonathan M. Jaffe/Stuart A. Miller,43389,2024
Lennox International,Industrials,Industrial Machinery,Public,Texas,670,yes,no,no,yes,6,yes,no,,no,no,13200,8914,4718,12,497,7,2568,Alok Maskara,8914,2023,645,yes,no,no,no,25,yes,no,,no,no,no,12600,17393,4982,6,590,19,2798,Alok Maskara,17393,2024
Levi Strauss,Apparel,Apparel,Public,California,569,yes,no,no,yes,-29,no,yes,,no,no,18000,7226,6169,7,569,3,6038,Charles V. Bergh,7226,2023,557,yes,no,yes,yes,12,yes,no,,no,no,no,19100,7957,6179,0,250,-56,6054,Michelle  Gass,7957,2024
Liberty Energy,Energy,"Oil and Gas Equipment, Services",Public,Colorado,725,yes,yes,no,yes,199,yes,no,,no,no,4580,2248,4149,68,400,0,2576,Christopher A. Wright,2248,2023,663,yes,yes,no,yes,62,yes,no,,no,no,no,5500,3441,4748,14,556,39,3034,Christopher A. Wright,3441,2024
Liberty Media,Media,Entertainment,Public,Colorado,340,yes,no,no,yes,-14,no,yes,no,no,no,7283,9130,12164,7,1815,356,42464,Gregory B. Maffei,9130,2023,328,yes,no,no,no,12,yes,no,no,no,yes,no,6486,9700,12525,3,761,-58,41168,Gregory B. Maffei,9700,2024
Liberty Mutual Insurance Group,Financials,Insurance: Property and Casualty (Stock),Private,Massachusetts,86,yes,no,no,yes,-8,no,yes,no,yes,no,50000,0,49956,4,414,-86,160316,Timothy M. Sweeney,0,2023,87,yes,no,no,no,-1,no,yes,no,yes,no,no,45000,0,52612,5,213,-49,165208,Timothy M. Sweeney,0,2024
Light & Wonder,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",Public,Nevada,910,yes,no,no,yes,-128,no,yes,,no,no,6100,5465,2883,-13,3675,891,6009,Matthew R. Wilson,5465,2023,910,yes,no,no,yes,0,no,no,,no,no,no,6500,9171,2902,1,163,-96,5552,Matthew R. Wilson,9171,2024
Lincoln Electric Holdings,Industrials,Industrial Machinery,Public,Ohio,777,yes,no,no,yes,16,yes,no,,no,no,12000,9740,3761,16,472,71,3181,Christopher L. Mapes,9740,2023,722,yes,no,no,no,55,yes,no,,no,no,no,12000,14515,4192,11,545,16,3377,Steven B. Hedlund,14515,2024
Lincoln National,Financials,"Insurance: Life, Health (stock)",Public,Pennsylvania,222,no,no,yes,yes,-35,no,yes,no,no,no,11316,3802,18766,-6,-2241,-219,335108,Ellen G. Cooper,3802,2023,354,no,no,yes,no,-132,no,yes,no,no,no,no,11024,5418,11645,-38,-752,0,372413,Ellen G. Cooper,5418,2024
Lithia Motors,Retailing,"Automotive Retailing, Services",Public,Oregon,145,yes,no,no,yes,13,yes,no,no,no,no,21875,6337,28188,24,1251,18,15007,Bryan B. DeBoer,6337,2023,140,yes,no,no,yes,5,yes,no,no,no,no,no,25051,8283,31311,11,1001,-20,19632,Bryan B. DeBoer,8283,2024
Littelfuse,Industrials,"Electronics, Electrical Equip.",Public,Illinois,984,yes,no,no,yes,0,,,,no,no,18000,6648,2514,21,373,32,3904,David W. Heinzmann,6648,2023,0,,,,,0,,,,,,,0,0,0,0,0,0,0,,0,0
Live Nation Entertainment,Media,Entertainment,Public,California,248,yes,no,no,yes,260,yes,no,yes,no,no,20550,16211,16681,166,296,0,16461,Michael Rapino,16211,2023,179,yes,no,no,yes,69,yes,no,no,no,yes,no,23200,24412,22749,36,563,90,19074,Michael Rapino,24412,2024
LKQ,Wholesalers,Wholesalers: Diversified,Public,Illinois,319,yes,no,no,no,-36,no,yes,no,no,no,45000,15171,12794,-2,1149,5,12038,Dominick P. Zarcone,15171,2023,305,yes,no,no,yes,14,yes,no,no,no,no,no,49000,14248,13866,8,936,-18,15079,Justin Jude,14249,2024
Lockheed Martin,Aerospace & Defense,Aerospace & Defense,Public,Maryland,60,yes,no,no,yes,-5,no,yes,no,yes,no,116000,120319,65984,-2,5732,-9,52880,James D. Taiclet Jr.,119021,2023,57,yes,no,no,yes,3,yes,no,no,yes,yes,no,122000,109394,67571,2,6920,21,52456,James D. Taiclet Jr.,111303,2024
Loews,Financials,Insurance: Property and Casualty (Stock),Public,New York,297,yes,no,no,yes,-51,no,yes,no,no,no,12050,13395,14044,-4,1012,-36,75494,James S. Tisch,13395,2023,260,yes,no,no,yes,37,yes,no,no,no,no,no,12280,17396,15901,13,1434,42,79197,James S. Tisch,17396,2024
Louisiana-Pacific,Materials,"Building Materials, Glass",Public,Tennessee,717,yes,no,no,no,-72,no,yes,,no,no,4300,3904,4309,-5,1086,-21,2350,W. Bradley Southern,3904,2023,978,yes,no,no,no,-261,no,yes,,no,no,no,4100,6068,2581,-40,178,-84,2437,W. Bradley Southern,6068,2024
Lowe's,Retailing,Specialty Retailers: Other,Public,North Carolina,39,yes,no,no,no,-4,no,yes,no,yes,no,244500,119253,97059,1,6437,-24,43708,Marvin R. Ellison,133586,2023,49,yes,no,no,no,-10,no,yes,no,yes,yes,no,226000,145752,86377,-11,7726,20,41795,Marvin R. Ellison,132299,2024
LPL Financial Holdings,Financials,Securities,Public,California,440,yes,no,no,yes,2,yes,no,no,no,no,6415,15914,8601,11,846,84,9482,Dan H. Arnold,15914,2023,392,yes,no,no,yes,48,yes,no,no,no,no,no,7372,19736,10053,17,1066,26,10386,Dan H. Arnold,19736,2024
Lululemon athletica,Retailing,Specialty Retailers: Apparel,Public,Washington,461,yes,no,no,yes,48,yes,no,yes,no,no,34000,46312,8111,30,855,-12,5607,Calvin McDonald,46312,2023,411,yes,no,no,yes,50,yes,no,no,no,no,no,38000,49225,9619,19,1550,81,7092,Calvin McDonald,49225,2024
Lumen Technologies,Telecommunications,Telecommunications,Public,Louisiana,237,no,no,yes,no,-58,no,yes,no,no,no,29000,2654,17478,-11,-1548,-176,45581,Kathleen E. Johnson,2654,2023,292,no,no,yes,no,-55,no,yes,no,no,no,no,28000,1585,14557,-17,-10298,0,34018,Kathleen E. Johnson,1585,2024
Lyft,Technology,Internet Services and Retailing,Public,California,734,no,no,no,no,66,yes,no,,no,no,4419,3505,4095,28,-1585,0,4556,David Risher,3505,2023,698,no,no,no,no,36,yes,no,,no,no,no,2945,7736,4404,8,-340,0,4564,John David Risher,7736,2024
M/I Homes,Engineering & Construction,Homebuilders,Public,Ohio,729,yes,no,no,yes,-7,no,yes,,no,no,1663,1746,4131,10,491,24,3715,Robert H. Schottenstein,1746,2023,741,yes,no,no,no,-12,no,yes,,no,no,no,1607,3790,4034,-2,465,-5,4022,Robert H. Schottenstein,3790,2024
